date,net_portfolio_value,net_daily_return,net_daily_log_return,net_cumulative_return,net_cumulative_log_return,net_drawdown,gross_portfolio_value,gross_daily_return,gross_daily_log_return,gross_cumulative_return,gross_cumulative_log_return,gross_drawdown,volume_traded
2007-05-24,1029757.8772513126,-0.006908810525373399,-0.006932786852560337,0.029757877251312514,0.02932370397831961,-0.04854687636879451,1029757.8772513126,-0.006908810525373399,-0.006932786852560337,0.029757877251312514,0.02932370397831961,-0.04854687636879451,0.0
2007-05-25,1030501.6803754293,0.0007223087490255686,0.0007220480096097954,0.03050168037542944,0.0300457519879297,-0.047859633453307904,1030501.6803754293,0.0007223087490255686,0.0007220480096097954,0.03050168037542944,0.0300457519879297,-0.047859633453307904,0.0
2007-05-29,1026819.3837853563,-0.0035733047894996872,-0.003579704292523788,0.02681938378535631,0.02646604769540578,-0.05126192118536521,1026819.3837853563,-0.0035733047894996872,-0.003579704292523788,0.02681938378535631,0.02646604769540578,-0.05126192118536521,0.0
2007-05-30,1031963.2356602014,0.005009500167285852,0.004996994369132661,0.03196323566020132,0.03146304206453836,-0.04650921762083282,1031963.2356602014,0.005009500167285852,0.004996994369132661,0.03196323566020132,0.03146304206453836,-0.04650921762083282,0.0
2007-05-31,1034016.6291259025,0.001989793235596782,0.0019878162191714383,0.03401662912590253,0.03345085828370977,-0.044611968111850975,1034016.6291259025,0.001989793235596782,0.0019878162191714383,0.03401662912590253,0.03345085828370977,-0.044611968111850975,0.0
2007-06-01,1035341.076739867,0.0012808765126766097,0.0012800568901717353,0.03534107673986697,0.03473091517388154,-0.04338823402131309,1035341.076739867,0.0012808765126766097,0.0012800568901717353,0.03534107673986697,0.03473091517388154,-0.04338823402131309,0.0
2007-06-04,1044731.9135537324,0.009070283237902377,0.009029395276506397,0.044731913553732516,0.043760310450388064,-0.03471149435517629,1044731.9135537324,0.009070283237902377,0.009029395276506397,0.044731913553732516,0.043760310450388064,-0.03471149435517629,523290.93472991727
2007-06-05,1041553.9568773858,-0.003041887239317309,-0.003046523182036028,0.041553956877385945,0.04071378726835211,-0.0376477931427569,1041553.9568773858,-0.003041887239317309,-0.003046523182036028,0.041553956877385945,0.04071378726835211,-0.0376477931427569,0.0
2007-06-06,1040468.7693870745,-0.0010418927249480348,-0.0010424358724735957,0.040468769387074444,0.03967135139587841,-0.03865046090591917,1040468.7693870745,-0.0010418927249480348,-0.0010424358724735957,0.040468769387074444,0.03967135139587841,-0.03865046090591917,0.0
2007-06-07,1024318.8693678603,-0.015521753746369438,-0.015643477385141644,0.024318869367860207,0.02402787401073675,-0.05357229171592326,1024318.8693678603,-0.015521753746369438,-0.015643477385141644,0.024318869367860207,0.02402787401073675,-0.05357229171592326,0.0
